DEXJPUS,lag1,lag2,lag3,lag4,lag5
102.1,102.3,102.21,102.39,101.37,101.46
102.92,102.1,102.32,102.38,101.54,101.62
102.98,102.92,102.3,102.21,102.39,101.37
103.52,102.98,102.1,102.32,102.38,101.54
103.82,103.52,102.92,102.3,102.21,102.39
103.94,103.82,102.98,102.1,102.32,102.38
103.39,103.94,103.52,102.92,102.3,102.21
103.04,103.39,103.82,102.98,102.1,102.32
102.12,103.04,103.94,103.52,102.92,102.3
101.85,102.12,103.39,103.82,102.98,102.1
101.43,101.85,103.04,103.94,103.52,102.92
101.56,101.43,102.12,103.39,103.82,102.98
101.81,101.56,101.85,103.04,103.94,103.52
101.6,101.81,101.43,102.12,103.39,103.82
102.3,101.6,101.56,101.85,103.04,103.94
102.22,102.3,101.81,101.43,102.12,103.39
102.43,102.22,101.6,101.56,101.85,103.04
102.56,102.43,102.3,101.81,101.43,102.12
102.6,102.56,102.22,101.6,101.56,101.85
102.26,102.6,102.43,102.3,101.81,101.43
102.34,102.26,102.56,102.22,101.6,101.56
102.12,102.34,102.6,102.43,102.3,101.81
102.46,102.12,102.26,102.56,102.22,101.6
102.57,102.46,102.34,102.6,102.43,102.3
102.14,102.57,102.12,102.26,102.56,102.22
102.3,102.14,102.46,102.34,102.6,102.43
102.34,102.3,102.57,102.12,102.26,102.56
102.06,102.34,102.14,102.46,102.34,102.6
101.57,102.06,102.3,102.57,102.12,102.26
101.72,101.57,102.34,102.14,102.46,102.34
101.66,101.72,102.06,102.3,102.57,102.12
101.74,101.66,101.57,102.34,102.14,102.46
102.1,101.74,101.72,102.06,102.3,102.57
102.2,102.1,101.66,101.57,102.34,102.14
101.75,102.2,101.74,101.72,102.06,102.3
101.44,101.75,102.1,101.66,101.57,102.34
101.5,101.44,102.2,101.74,101.72,102.06
101.26,101.5,101.75,102.1,101.66,101.57
101.26,101.26,101.44,102.2,101.74,101.72
101.44,101.26,101.5,101.75,102.1,101.66
101.76,101.44,101.26,101.44,102.2,101.74
101.88,101.76,101.26,101.5,101.75,102.1
102.14,101.88,101.44,101.26,101.44,102.2
101.78,102.14,101.76,101.26,101.5,101.75
101.58,101.78,101.88,101.44,101.26,101.44
101.77,101.58,102.14,101.76,101.26,101.5
102.3,101.77,101.78,101.88,101.44,101.26
102.42,102.3,101.58,102.14,101.76,101.26
102.69,102.42,101.77,101.78,101.88,101.44
102.44,102.69,102.3,101.58,102.14,101.76
102.5,102.44,102.42,101.77,101.78,101.88
102.52,102.5,102.69,102.3,101.58,102.14
102.37,102.52,102.44,102.42,101.77,101.78
101.94,102.37,102.5,102.69,102.3,101.58
101.83,101.94,102.52,102.44,102.42,101.77
102.06,101.83,102.37,102.5,102.69,102.3
101.82,102.06,101.94,102.52,102.44,102.42
102.18,101.82,101.83,102.37,102.5,102.69
102.16,102.18,102.06,101.94,102.52,102.44
101.84,102.16,101.82,101.83,102.37,102.5
102.14,101.84,102.18,102.06,101.94,102.52
101.9,102.14,102.16,101.82,101.83,102.37
102.13,101.9,101.84,102.18,102.06,101.94
101.75,102.13,102.14,102.16,101.82,101.83
101.66,101.75,101.9,101.84,102.18,102.06
101.39,101.66,102.13,102.14,102.16,101.82
